sources,target,author,date,statement,processed_statement
TikTok posts,0,Sara Swann,"January 17, 2025",President-elect Donald Trump posted on X that he is “purchasing TikTok.”,president elect donald trump posted on x that he is purchasing tiktok
JD Vance,1,Caleb McCullough,"January 17, 2025","“Some of these (California) reservoirs have been dry for 15, 20 years.""",some of these california reservoirs have been dry for years
Viral image,0,Ciara O'Rourke,"January 17, 2025",“All three California wild fires seem to start at the same time!”,all three california wild fires seem to start at the same time
Facebook posts,0,Ciara O'Rourke,"January 17, 2025",“Jimmy Kimmel just announced that his show will end on January 20th … he’s leaving for Canada and says he’s ‘never coming back.’”,jimmy kimmel just announced that his show will end on january th he is leaving for canada and says he is never coming back
Viral image,0,Ciara O'Rourke,"January 17, 2025",Video shows Mexican firefighters going to help with California fires.,video shows mexican firefighters going to help with california fires
Social Media,0,Sofia Ahmed,"January 16, 2025","Amazon, Google, Meta, Microsoft, Apple and Uber haven’t donated anything toward LA fire relief, but Taylor Swift donated $10 million.",amazon google meta microsoft apple and uber have not donated anything toward la fire relief but taylor swift donated million
Facebook posts,1,Kwasi Gyamfi,"• January 16,",Video claims to show the Los Angeles fires.,video claims to show the los angeles fires
Instagram posts,0,Sara Swann,"January 16, 2025",Los Angeles wildfires are part of a Hollywood conspiracy to cover up evidence related to Sean “Diddy” Combs.,los angeles wildfires are part of a hollywood conspiracy to cover up evidence related to sean diddy combs
Facebook posts,0,Maria Briceño,"January 16, 2025",“Bomberos que combaten los incendios en Los Ángeles sostienen imagen de Nuestra Madre Santísima”.,bomberos que combaten los incendios en los ngeles sostienen imagen de nuestra madre sant sima
Facebook posts,0,Madison Czopek,"January 16, 2025","“So (Los Angeles), Hollywood, and California (get) 100% aid for the next 180 days while Western North Carolina got $750.”",so los angeles hollywood and california get aid for the next days while western north carolina got
Donald Trump,0,Kwasi Gyamfi,"• January 16,",On banning TikTok,on banning tiktok
Facebook posts,0,Loreben Tuquero,"January 16, 2025","Video clips show “wildfires in Los Angeles, California.”",video clips show wildfires in los angeles california
